e (%),e,sigma(Mpa),,,e_real,sigma_real,,loge,logsimga,,,,,,,
0,0,317.7,,,0,317.7,,,,,,,,,,
0,0,377.6,,,0,377.6,,,,,,,,,,
0.02386,0.0002386,408.9,,,0.000238572,408.9975635,,-3.622329561,2.611617111,,,,,,,
0.02386,0.0002386,455.7,,,0.000238572,455.80873,,-3.622329561,2.658679029,,,,,,,
0.09543,0.0009543,487,,,0.000953845,487.4647441,,-3.020315076,2.687528961,,,,,,,
0.2624,0.002624,520.8,,,0.002620563,522.1665792,,-2.581036169,2.716670976,,,,,,,
0.5487,0.005487,549.5,,,0.005472001,552.5151065,,-2.26066504,2.739967697,,,,,,,
0.7396,0.007396,567.7,,,0.007368784,571.8987092,,-2.131003098,2.754118894,,,,,,,
1.026,0.01026,588.5,,,0.010207723,594.53801,,-1.988852639,2.769746467,,,,,,,
1.312,0.01312,606.8,,,0.013034678,614.761216,,-1.882066165,2.783045572,,,,,,,
1.503,0.01503,622.4,,,0.014918169,631.754672,,-1.823041019,2.794069584,,,,,,,
1.837,0.01837,640.6,,,0.01820331,652.367822,,-1.735890844,2.806586934,,,,,,,
2.147,0.02147,658.9,,,0.021242766,673.046583,,-1.668167956,2.818819508,,,,,,,
2.529,0.02529,682.3,,,0.024975499,699.555367,,-1.597051171,2.833975371,,,,,,,
2.791,0.02791,697.9,,,0.027527615,717.378389,,-1.554240164,2.843793198,,,,,,,
3.101,0.03101,710.9,,,0.030538904,732.945009,,-1.508498234,2.851808514,,,,,,,
3.388,0.03388,721.4,,,0.033318715,745.841032,,-1.470056598,2.858176138,,,,,,,
3.626,0.03626,737,,,0.035618078,763.72362,,-1.4405722,2.867467488,,,,,,0,0
3.913,0.03913,750,,,0.038383825,779.3475,,-1.407490152,2.875061263,,sigma_uts,890.6,,,0.1193,492.2
4.199,0.04199,763,,,0.041132346,795.03837,,-1.376854125,2.882524538,,e_uts,0.09805,,,,
4.437,0.04437,776,,,0.043413833,810.43112,,-1.352910571,2.889861721,,n,0.093535879,,,4125.733445,
4.795,0.04795,789.1,,,0.046835875,826.937345,,-1.319211388,2.897132043,,N,34,,,412573.3445,
5.082,0.05082,802.1,,,0.049570812,842.862722,,-1.293965339,2.904228516,,Y,96.98385702,,,,
5.32,0.0532,809.9,,,0.051833149,852.98668,,-1.274088368,2.908431399,,X,-55.41066655,,,,
5.535,0.05535,817.7,,,0.053872465,862.959695,,-1.256882375,2.912593998,,b,3.00490419,,,,
5.964,0.05964,830.7,,,0.057929228,880.242948,,-1.224462365,2.91944421,,K,1011.356313,,,,
6.274,0.06274,838.5,,,0.060850479,891.10749,,-1.202455486,2.923503067,,,,,,,
6.608,0.06608,849,,,0.06398837,905.10192,,-1.179929966,2.92890769,,,,,,,
7.014,0.07014,859.4,,,0.067789481,919.678316,,-1.154034238,2.934195349,,,,,,,
7.372,0.07372,862,,,0.071129254,925.54664,,-1.132414673,2.935507266,,,,,,,
7.873,0.07873,872.4,,,0.075784423,941.084052,,-1.103859749,2.940715657,,,,,,,
8.35,0.0835,880.2,,,0.080196542,953.6967,,-1.078313525,2.944581364,,,,,,,
8.588,0.08588,882.8,,,0.082390718,958.614864,,-1.066107964,2.945862324,,,,,,,
8.97,0.0897,885.4,,,0.085902429,964.82038,,-1.047207557,2.947139518,,,,,,,
9.423,0.09423,888,,,0.09005092,971.67624,,-1.025810809,2.948412966,,,,,,,
9.805,0.09805,890.6,,,0.093535879,977.92333,,-1.008552402,2.949682691,,,,,,,
